customer_id|first_name|last_name|email|country|signup_date|total_spent
1|Vikram|Reddy|vikram.reddy1@gmail.com|Canada|2022-03-04|15866.34
2|Rahul|Chopra|rahul.chopra2@company.com|India|2020-09-01|9752.5
3|Neha|Kapoor|neha.kapoor3@outlook.com|Germany|2023-12-26|19780.67
4|Pooja|Iyer|pooja.iyer4@gmail.com|Canada|2021-07-04|6354.26
5|Rohan|Sharma|rohan.sharma5@yahoo.com|UK|2023-02-14|11668.22
6|Sneha|Mehta|sneha.mehta6@outlook.com|UAE|2020-03-09|19109.02
7|Rahul|Patel|rahul.patel7@outlook.com|Singapore|2021-06-16|19691.65
8|Sneha|Singh|sneha.singh8@company.com|Germany|2023-02-10|12183.16
9|Aarav|Verma|aarav.verma9@company.com|Canada|2022-01-07|13159.8
10|Amit|Sharma|amit.sharma10@gmail.com|Canada|2021-03-12|8356.91
11|Aarav|Gupta|aarav.gupta11@company.com|Germany|2020-01-12|79.66
12|Karthik|Gupta|karthik.gupta12@gmail.com|Germany|2023-12-18|4019.61
13|Ananya|Sharma|ananya.sharma13@outlook.com|Canada|2023-03-04|18260.03
14|Riya|Nair|riya.nair14@outlook.com|Germany|2025-10-15|15553.83
15|Aarav|Sharma|aarav.sharma15@gmail.com|UAE|2024-02-15|6794.04
16|Rohan|Reddy|rohan.reddy16@yahoo.com|Germany|2024-11-02|12543.49
17|Ananya|Reddy|ananya.reddy17@outlook.com|Canada|2022-04-07|13499.74
18|Neha|Kapoor|neha.kapoor18@outlook.com|Canada|2023-10-14|1322.0
19|Amit|Iyer|amit.iyer19@outlook.com|UAE|2023-07-21|6524.24
20|Sneha|Gupta|sneha.gupta20@gmail.com|UAE|2023-07-18|3108.37
21|Ananya|Iyer|ananya.iyer21@yahoo.com|USA|2025-01-05|13826.22
22|Amit|Kapoor|amit.kapoor22@company.com|Australia|2019-10-25|18490.15
23|Meera|Sharma|meera.sharma23@gmail.com|UAE|2021-02-23|3418.37
24|Rohan|Malhotra|rohan.malhotra24@outlook.com|UAE|2021-05-25|9011.07
25|Karthik|Verma|karthik.verma25@outlook.com|Canada|2024-02-16|8248.59
26|Meera|Malhotra|meera.malhotra26@outlook.com|UK|2024-12-28|11390.48
27|Aarav|Gupta|aarav.gupta27@gmail.com|UK|2023-05-08|505.62
28|Rohan|Chopra|rohan.chopra28@yahoo.com|Germany|2021-09-21|18721.57
29|Riya|Nair|riya.nair29@company.com|Australia|2025-04-20|2320.8
30|Amit|Reddy|amit.reddy30@company.com|India|2021-02-27|17759.01
31|Pooja|Patel|pooja.patel31@company.com|UK|2022-04-03|19753.79
32|Karthik|Verma|karthik.verma32@gmail.com|Germany|2020-04-27|5653.02
33|Riya|Singh|riya.singh33@outlook.com|India|2019-04-03|19279.61
34|Meera|Malhotra|meera.malhotra34@company.com|UAE|2022-07-03|16935.96
35|Amit|Mehta|amit.mehta35@company.com|Australia|2025-09-07|19064.88
36|Arjun|Iyer|arjun.iyer36@gmail.com|UAE|2021-09-24|4124.8
37|Kiran|Mehta|kiran.mehta37@outlook.com|USA|2024-01-08|3891.22
38|Neha|Sharma|neha.sharma38@company.com|UK|2025-07-09|11607.7
39|Vikram|Malhotra|vikram.malhotra39@gmail.com|UAE|2020-04-05|15089.02
40|Rahul|Verma|rahul.verma40@outlook.com|USA|2019-11-04|18154.21
41|Neha|Mehta|neha.mehta41@outlook.com|USA|2025-01-26|15800.92
42|Kiran|Mehta|kiran.mehta42@outlook.com|Australia|2025-11-27|10693.04
43|Karthik|Gupta|karthik.gupta43@company.com|Australia|2019-06-15|485.37
44|Arjun|Kapoor|arjun.kapoor44@company.com|India|2025-07-05|6221.0
45|Arjun|Iyer|arjun.iyer45@company.com|India|2024-07-03|4345.42
46|Arjun|Mehta|arjun.mehta46@company.com|India|2021-08-28|5562.27
47|Aarav|Singh|aarav.singh47@gmail.com|Germany|2024-07-11|1259.04
48|Rahul|Reddy|rahul.reddy48@gmail.com|Germany|2023-11-03|17913.79
49|Riya|Sharma|riya.sharma49@yahoo.com|USA|2022-07-25|11885.23
50|Aarav|Kapoor|aarav.kapoor50@yahoo.com|USA|2020-09-25|8099.81
51|Amit|Mehta|amit.mehta51@outlook.com|Germany|2025-11-14|7929.06
52|Sneha|Singh|sneha.singh52@outlook.com|Germany|2021-12-23|12913.72
53|Arjun|Mehta|arjun.mehta53@yahoo.com|India|2024-01-24|6553.28
54|Kiran|Gupta|kiran.gupta54@outlook.com|Singapore|2021-08-24|2982.96
55|Sneha|Verma|sneha.verma55@outlook.com|India|2023-03-18|17793.03
56|Kiran|Mehta|kiran.mehta56@company.com|Australia|2022-10-21|19913.03
57|Sneha|Malhotra|sneha.malhotra57@company.com|USA|2024-01-04|11479.64
58|Ananya|Sharma|ananya.sharma58@gmail.com|Singapore|2020-08-13|18692.89
59|Vikram|Reddy|vikram.reddy59@company.com|Germany|2021-07-16|16706.03
60|Riya|Verma|riya.verma60@yahoo.com|UK|2023-11-01|16404.23
61|Sneha|Mehta|sneha.mehta61@yahoo.com|India|2022-07-27|16428.64
62|Rahul|Patel|rahul.patel62@yahoo.com|UK|2022-09-03|5104.54
63|Sonal|Sharma|sonal.sharma63@gmail.com|Australia|2023-10-18|8352.69
64|Arjun|Patel|arjun.patel64@outlook.com|UAE|2019-02-01|18348.68
65|Ananya|Singh|ananya.singh65@outlook.com|Canada|2025-04-14|13088.05
66|Aarav|Reddy|aarav.reddy66@outlook.com|UK|2022-11-24|8648.43
67|Sonal|Kapoor|sonal.kapoor67@outlook.com|Canada|2021-10-05|6168.28
68|Rohan|Sharma|rohan.sharma68@company.com|Singapore|2025-04-27|2208.11
69|Kiran|Mehta|kiran.mehta69@company.com|USA|2022-02-15|17092.53
70|Aarav|Mehta|aarav.mehta70@gmail.com|Canada|2019-02-27|6253.06
71|Sonal|Singh|sonal.singh71@outlook.com|Germany|2023-01-19|9839.16
72|Karthik|Mehta|karthik.mehta72@outlook.com|Australia|2025-04-02|18430.58
73|Riya|Sharma|riya.sharma73@yahoo.com|USA|2023-04-09|15446.53
74|Sneha|Mehta|sneha.mehta74@outlook.com|Australia|2019-09-19|8342.35
75|Kiran|Sharma|kiran.sharma75@gmail.com|Canada|2025-08-27|18755.19
76|Riya|Malhotra|riya.malhotra76@company.com|UK|2022-12-18|1114.45
77|Sonal|Chopra|sonal.chopra77@outlook.com|Canada|2019-10-26|14357.81
78|Arjun|Kapoor|arjun.kapoor78@yahoo.com|USA|2019-06-15|4445.78
79|Aarav|Chopra|aarav.chopra79@yahoo.com|India|2023-05-18|19685.19
